ClinicName,Street,HouseNumber,Postcode,City,Phone,Email,Website,Latitude,Longitude,GoogleMaps
99 Zahnspangen,Albrechtrstraße,99,,Berlin,+49 30 397988210,,https://www.kieferorthopaede-steglitz.berlin/,52.4529516,13.3323162,"https://www.google.com/maps/search/?api=1&query=52.4529516,13.3323162"
A. Nejad,,,,Berlin,+49 30 361 91 06,,,52.5088434,13.1804772,"https://www.google.com/maps/search/?api=1&query=52.5088434,13.1804772"
A. Parish,Rheinstraße,34,12161,Berlin,,,https://zahnarzt-friedenau.jimdofree.com/,52.4664087,13.3295248,"https://www.google.com/maps/search/?api=1&query=52.4664087,13.3295248"
Abdullah Al-Wadhaf,Reinickendorfer Straße,5,,Berlin,,,,52.5409386,13.3704786,"https://www.google.com/maps/search/?api=1&query=52.5409386,13.3704786"
about:dents,Greifswalder Straße,122,10409,Berlin,+49 30 4217041,mail@about-dents.de,https://www.about-dents.de/,52.5452921,13.4479701,"https://www.google.com/maps/search/?api=1&query=52.5452921,13.4479701"
ADENTICS,Richard-Israel-Straße,3,15732,Schulzendorf,+49 33762 462 550,,https://www.adentics.de/kieferorthopaede-kontakt-praxis/adentics-schulzendorf.html,52.3647289,13.5941767,"https://www.google.com/maps/search/?api=1&query=52.3647289,13.5941767"
Adentics Kieferorthopäde Berlin-Mitte,Leipziger Platz,7,10117,Berlin,+49 30 31174740,,,52.5088353,13.3783235,"https://www.google.com/maps/search/?api=1&query=52.5088353,13.3783235"
Adentics Kieferorthopäden,,,,Berlin,,,,52.3870852,13.4093319,"https://www.google.com/maps/search/?api=1&query=52.3870852,13.4093319"
Alexander Krom,Geisenheimer Straße,34,14197,Berlin,+49 30 8212773,,,52.46979,13.3166852,"https://www.google.com/maps/search/?api=1&query=52.46979,13.3166852"
Alexandra Stein,Kufsteiner Straße,5,10825,Berlin,,,https://www.zahnarztpraxis-stein.com/,52.487633,13.3372846,"https://www.google.com/maps/search/?api=1&query=52.487633,13.3372846"
alexeins,Alexanderplatz,1,10178,Berlin,+49 30 688391288,mail@alex1-berlin.de,https://www.alex1-berlin.de/,52.5212694,13.412599,"https://www.google.com/maps/search/?api=1&query=52.5212694,13.412599"
Alpha Zahnarztpraxis Mitte,Chausseestraße,105,10115,Berlin,,,,52.5317843,13.3812765,"https://www.google.com/maps/search/?api=1&query=52.5317843,13.3812765"
Andre Kociok,,,,Berlin,+49 30 51060060,,,52.4980073,13.5098763,"https://www.google.com/maps/search/?api=1&query=52.4980073,13.5098763"
Andrea Thiele,Scharnweberstraße,21 / 22,13405,Berlin,+4930 4178355 0,praxis@andreathiele.de,http://www.andreathiele.de/,52.5647878,13.3262452,"https://www.google.com/maps/search/?api=1&query=52.5647878,13.3262452"
Andrea Vath,,,,Berlin,+49 30 5532331,,https://www.zahnarztpraxis-vath.de/,52.4583377,13.3225509,"https://www.google.com/maps/search/?api=1&query=52.4583377,13.3225509"
Andrea-Maria Sistori,Ringbahnstraße,14,10711,Berlin,,,https://www.zahnarzt-sistori.de/,52.4978625,13.2891596,"https://www.google.com/maps/search/?api=1&query=52.4978625,13.2891596"
Andreas Krautien,Wildenbruchplatz,6,12045,Berlin,+49 30 6873040,,,52.4833087,13.4447744,"https://www.google.com/maps/search/?api=1&query=52.4833087,13.4447744"
Andreas Kretschmer,Detmolder Straße,16,10715,Berlin,,,,52.4789131,13.3220134,"https://www.google.com/maps/search/?api=1&query=52.4789131,13.3220134"
Andreas Schubert,Rathausstraße,65,12105,Berlin,,,,52.4427617,13.3809007,"https://www.google.com/maps/search/?api=1&query=52.4427617,13.3809007"
Andreas Wein,,,,Berlin,+49 30 4161171,,,52.5981672,13.355677,"https://www.google.com/maps/search/?api=1&query=52.5981672,13.355677"
Angelika Wenzel,,,,Berlin,,,,52.5479361,13.4095512,"https://www.google.com/maps/search/?api=1&query=52.5479361,13.4095512"
Anke Krüger Zahnärztin,,,,Berlin,,,,52.5369724,13.7933738,"https://www.google.com/maps/search/?api=1&query=52.5369724,13.7933738"
Anne Bohmeyer - Praxis für Zahnheilkunde,Schulstraße,15,15366,Neuenhagen bei Berlin,+49 3342 21440,info@zahnarztpraxis-bohmeyer.de,https://zahnarztpraxis-bohmeyer.de/,52.5207136,13.6945712,"https://www.google.com/maps/search/?api=1&query=52.5207136,13.6945712"
Anne Wenzel,Berliner Straße,47-48,14467,Potsdam,+49 331 2316252,info@zahnarzt-potsdam.de,https://zahnarzt-potsdam.de/,52.4089782,13.0784201,"https://www.google.com/maps/search/?api=1&query=52.4089782,13.0784201"
